latitude,longitude,altitude,geometry,coordinates,gid,admapkey,shapename
,,,MultiPolygon,"19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.311,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.312,19.820,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311,19.821,41.311",11,11,
,,,MultiPolygon,"19.822,41.306,19.822,41.305,19.822,41.305,19.822,41.305,19.822,41.305,19.822,41.305,19.822,41.305,19.821,41.305,19.821,41.305,19.821,41.305,19.821,41.305,19.821,41.305,19.821,41.305,19.821,41.305,19.821,41.305,19.821,41.305,19.820,41.305,19.820,41.305,19.820,41.306,19.820,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.821,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.307,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306,19.822,41.306",12,12,
,,,MultiPolygon,"19.820,41.306,19.820,41.306,19.820,41.305,19.820,41.305,19.821,41.305,19.821,41.305,19.821,41.305,19.821,41.305,19.821,41.305,19.821,41.305,19.820,41.305,19.820,41.305,19.820,41.305,19.820,41.305,19.820,41.305,19.819,41.305,19.819,41.305,19.819,41.305,19.819,41.305,19.819,41.305,19.819,41.305,19.819,41.305,19.819,41.305,19.819,41.305,19.819,41.305,19.819,41.305,19.819,41.305,19.819,41.305,19.819,41.305,19.819,41.306,19.819,41.306,19.819,41.306,19.819,41.306,19.819,41.306,19.819,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.820,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.821,41.306,19.820,41.306",13,13,
,,,MultiPolygon,"19.829,41.311,19.828,41.311,19.828,41.311,19.828,41.311,19.828,41.311,19.828,41.311,19.828,41.311,19.828,41.311,19.827,41.311,19.827,41.311,19.827,41.311,19.827,41.311,19.827,41.311,19.827,41.311,19.827,41.311,19.827,41.311,19.827,41.311,19.827,41.311,19.827,41.311,19.827,41.311,19.827,41.310,19.826,41.310,19.826,41.310,19.826,41.310,19.826,41.310,19.826,41.310,19.826,41.310,19.825,41.310,19.825,41.310,19.825,41.310,19.825,41.310,19.825,41.310,19.825,41.310,19.825,41.310,19.825,41.310,19.824,41.310,19.824,41.310,19.824,41.310,19.824,41.310,19.824,41.310,19.824,41.310,19.824,41.310,19.824,41.310,19.823,41.310,19.823,41.310,19.823,41.310,19.823,41.310,19.823,41.310,19.823,41.310,19.823,41.310,19.823,41.310,19.823,41.310,19.822,41.310,19.823,41.310,19.823,41.310,19.823,41.310,19.823,41.310,19.824,41.311,19.824,41.311,19.824,41.311,19.824,41.311,19.824,41.311,19.825,41.311,19.825,41.312,19.826,41.312,19.826,41.312,19.826,41.312,19.826,41.312,19.826,41.312,19.826,41.312,19.827,41.312,19.827,41.312,19.827,41.312,19.827,41.312,19.827,41.312,19.828,41.312,19.828,41.312,19.828,41.312,19.828,41.312,19.828,41.312,19.828,41.312,19.829,41.312,19.829,41.312,19.829,41.312,19.829,41.311",14,14,23
,,,MultiPolygon,"19.830,41.314,19.830,41.314,19.830,41.314,19.830,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.832,41.313,19.831,41.313,19.830,41.313,19.830,41.313,19.830,41.313,19.830,41.313,19.829,41.313,19.829,41.313,19.829,41.313,19.829,41.313,19.829,41.313,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.828,41.314,19.828,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.830,41.315,19.830,41.315,19.830,41.315,19.830,41.314,19.830,41.314,19.830,41.314,19.830,41.314,19.830,41.314,19.830,41.314",15,15,
,,,MultiPolygon,"19.832,41.314,19.833,41.314,19.833,41.314,19.833,41.314,19.833,41.313,19.833,41.313,19.833,41.313,19.833,41.313,19.833,41.313,19.833,41.313,19.833,41.313,19.832,41.313,19.832,41.313,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.316,19.831,41.316,19.831,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.314,19.832,41.314",16,16,
,,,MultiPolygon,"19.833,41.314,19.834,41.314,19.834,41.314,19.834,41.314,19.834,41.313,19.834,41.313,19.834,41.313,19.834,41.313,19.834,41.313,19.834,41.313,19.834,41.313,19.834,41.313,19.834,41.313,19.834,41.313,19.833,41.313,19.833,41.313,19.833,41.313,19.833,41.313,19.833,41.313,19.833,41.313,19.833,41.313,19.833,41.313,19.833,41.314,19.833,41.314,19.833,41.314,19.833,41.314,19.833,41.314,19.833,41.314,19.832,41.314,19.832,41.314,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.832,41.315,19.833,41.315,19.833,41.315,19.833,41.315,19.833,41.315,19.833,41.314,19.833,41.314",17,17,
,,,MultiPolygon,"19.833,41.313,19.833,41.313,19.833,41.313,19.833,41.313,19.832,41.313,19.832,41.313,19.830,41.313,19.830,41.313,19.830,41.313,19.831,41.313,19.832,41.313,19.832,41.313,19.833,41.313",18,18,
,,,MultiPolygon,"19.833,41.316,19.833,41.315,19.834,41.314,19.833,41.314,19.833,41.314,19.833,41.315,19.833,41.315,19.833,41.315,19.832,41.315,19.832,41.315,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.833,41.316,19.833,41.316,19.833,41.316,19.833,41.316,19.833,41.316,19.833,41.316,19.833,41.316",19,19,
,,,MultiPolygon,"19.831,41.316,19.831,41.316,19.831,41.316,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.315,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.831,41.314,19.830,41.314,19.830,41.314,19.830,41.314,19.830,41.314,19.830,41.314,19.830,41.314,19.830,41.314,19.830,41.315,19.830,41.315,19.830,41.315,19.830,41.315,19.830,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.829,41.315,19.830,41.315,19.830,41.315,19.830,41.315,19.830,41.315,19.830,41.315,19.830,41.315,19.830,41.315,19.830,41.316,19.829,41.316,19.829,41.316,19.829,41.316,19.830,41.316,19.830,41.317,19.831,41.317,19.831,41.316,19.831,41.317,19.832,41.317,19.832,41.317,19.832,41.317,19.832,41.317,19.832,41.317,19.832,41.317,19.832,41.317,19.832,41.317,19.832,41.317,19.832,41.317,19.832,41.317,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.832,41.316,19.831,41.316,19.831,41.316",20,20,
,,,MultiPolygon,"19.830,41.317,19.830,41.316,19.829,41.316,19.829,41.316,19.829,41.316,19.829,41.316,19.829,41.317,19.829,41.317,19.829,41.317,19.829,41.317,19.829,41.317,19.829,41.317,19.829,41.317,19.829,41.317,19.829,41.317,19.829,41.317,19.830,41.317,19.830,41.317,19.830,41.317,19.830,41.317,19.830,41.317,19.830,41.317,19.831,41.317,19.831,41.317,19.830,41.317,19.830,41.317,19.831,41.317,19.830,41.317,19.830,41.317",21,21,
,,,MultiPolygon,"19.828,41.317,19.828,41.317,19.828,41.317,19.828,41.317,19.828,41.316,19.828,41.316,19.828,41.316,19.828,41.316,19.828,41.316,19.828,41.316,19.828,41.316,19.828,41.316,19.828,41.316,19.828,41.316,19.828,41.316,19.827,41.316,19.827,41.316,19.827,41.316,19.827,41.316,19.827,41.317,19.828,41.317,19.828,41.317,19.828,41.317",22,22,
,,,MultiPolygon,"19.829,41.313,19.829,41.313,19.829,41.313,19.829,41.313,19.829,41.313,19.829,41.313,19.829,41.312,19.829,41.312,19.829,41.312,19.829,41.312,19.829,41.312,19.829,41.312,19.829,41.312,19.829,41.312,19.829,41.312,19.827,41.313,19.827,41.313,19.827,41.313,19.827,41.313,19.827,41.313,19.827,41.313,19.827,41.313,19.827,41.313,19.827,41.313,19.827,41.313,19.827,41.313,19.827,41.313,19.827,41.313,19.827,41.313,19.827,41.313,19.827,41.313,19.827,41.313,19.827,41.314,19.827,41.314,19.827,41.314,19.827,41.314,19.827,41.314,19.827,41.314,19.827,41.314,19.827,41.314,19.826,41.315,19.826,41.315,19.826,41.315,19.826,41.315,19.826,41.315,19.826,41.315,19.826,41.315,19.827,41.315,19.827,41.315,19.827,41.315,19.827,41.314,19.827,41.314,19.827,41.314,19.827,41.314,19.828,41.314,19.828,41.314,19.828,41.314,19.828,41.314,19.828,41.314,19.828,41.314,19.828,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.314,19.829,41.313",23,23,
,,,MultiPolygon,"19.826,41.313,19.826,41.313,19.826,41.313,19.826,41.313,19.826,41.313,19.827,41.313,19.827,41.313,19.827,41.313,19.827,41.313,19.827,41.313,19.827,41.313,19.829,41.312,19.829,41.312,19.828,41.312,19.828,41.312,19.828,41.312,19.828,41.312,19.828,41.312,19.828,41.312,19.827,41.312,19.827,41.312,19.827,41.312,19.827,41.312,19.827,41.312,19.827,41.312,19.826,41.312,19.826,41.312,19.826,41.312,19.826,41.312,19.825,41.312,19.825,41.312,19.825,41.312,19.825,41.312,19.824,41.312,19.824,41.313,19.824,41.313,19.824,41.313,19.824,41.313,19.824,41.314,19.823,41.314,19.823,41.315,19.823,41.315,19.823,41.315,19.823,41.315,19.823,41.315,19.823,41.315,19.824,41.315,19.824,41.314,19.824,41.314,19.824,41.314,19.824,41.314,19.824,41.314,19.825,41.314,19.825,41.314,19.825,41.314,19.825,41.314,19.825,41.314,19.825,41.314,19.825,41.313,19.825,41.313,19.825,41.313,19.825,41.313,19.825,41.313,19.825,41.313,19.825,41.313,19.825,41.313,19.826,41.313,19.826,41.313,19.826,41.313,19.826,41.313,19.826,41.313,19.826,41.313,19.826,41.313,19.826,41.313,19.826,41.313,19.826,41.313,19.826,41.313",24,24,
,,,MultiPolygon,"19.817,41.314,19.817,41.313,19.817,41.313,19.817,41.313,19.817,41.313,19.817,41.313,19.817,41.313,19.817,41.313,19.817,41.313,19.817,41.313,19.817,41.313,19.817,41.313,19.817,41.313,19.817,41.313,19.816,41.313,19.816,41.313,19.816,41.313,19.816,41.313,19.817,41.313,19.817,41.313,19.817,41.314,19.817,41.314,19.817,41.314,19.817,41.314,19.818,41.314,19.818,41.314,19.818,41.315,19.818,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.316,19.819,41.316,19.819,41.316,19.819,41.316,19.819,41.316,19.819,41.316,19.819,41.316,19.819,41.316,19.819,41.316,19.819,41.316,19.819,41.316,19.819,41.316,19.819,41.316,19.819,41.316,19.819,41.316,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.819,41.315,19.818,41.315,19.818,41.315,19.818,41.315,19.818,41.315,19.818,41.315,19.818,41.315,19.818,41.315,19.818,41.314,19.818,41.314,19.818,41.314,19.818,41.314,19.818,41.314,19.818,41.314,19.818,41.314,19.818,41.314,19.818,41.314,19.818,41.314,19.818,41.314,19.817,41.314,19.817,41.314,19.817,41.314,19.817,41.314",25,25,
,,,MultiPolygon,"19.829,41.308,19.829,41.307,19.830,41.307,19.828,41.307,19.828,41.307,19.828,41.307,19.828,41.307,19.828,41.307,19.828,41.307,19.828,41.307,19.828,41.307,19.827,41.307,19.827,41.307,19.827,41.307,19.827,41.307,19.827,41.307,19.827,41.307,19.827,41.307,19.827,41.307,19.827,41.307,19.827,41.307,19.827,41.307,19.827,41.307,19.827,41.307,19.827,41.307,19.826,41.307,19.826,41.307,19.826,41.307,19.826,41.307,19.826,41.307,19.826,41.307,19.826,41.307,19.826,41.307,19.826,41.307,19.826,41.307,19.826,41.307,19.826,41.307,19.826,41.307,19.826,41.307,19.826,41.307,19.826,41.307,19.826,41.307,19.826,41.307,19.826,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.307,19.825,41.308,19.825,41.308,19.825,41.308,19.825,41.308,19.825,41.308,19.825,41.308,19.825,41.308,19.825,41.308,19.826,41.308,19.826,41.308,19.826,41.308,19.826,41.308,19.826,41.308,19.826,41.308,19.826,41.308,19.826,41.308,19.826,41.308,19.826,41.308,19.827,41.308,19.827,41.308,19.827,41.308,19.827,41.308,19.827,41.308,19.827,41.308,19.827,41.308,19.827,41.308,19.827,41.308,19.828,41.308,19.828,41.308,19.828,41.308,19.829,41.308,19.829,41.308,19.829,41.308,19.829,41.308,19.829,41.308,19.829,41.308,19.829,41.308,19.829,41.308,19.829,41.308,19.829,41.308",26,26,
